id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,180,3,8,2024-05-04,0.07,2,336,1,VT-38755-V
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,126,3,3,2022-12-06,0.03,2,336,0,NA
909800,I rent luxury flat Valencia(Spain),4877564,Andrea,POBLATS MARITIMS,EL GRAU,39.46157,-0.33124,Entire home/apt,40,360,0,NA,NA,1,294,0,NA
959190,Primera línea de playa cerca de Valencia,5220094,Pilar,POBLATS DEL SUD,EL SALER,39.35203,-0.32259,Entire home/apt,125,7,6,2024-05-28,0.04,1,111,4,VT-40126-V
976840,San Lia,5343696,Eduard,JESUS,LA CREU COBERTA,39.4528,-0.38262,Entire home/apt,130,2,8,2024-06-02,0.06,1,173,3,NA
1895636,Luxury Attic Old town Valencia,9609511,James,CIUTAT VELLA,LA XEREA,39.47343,-0.37101,Entire home/apt,146,30,0,NA,NA,1,200,0,NA
2060665,"Velero Lujo, 4 camarotes, 3 baños, Marina Valencia",10546463,Oscar,POBLATS MARITIMS,EL GRAU,39.461847019237474,-0.3297404088538649,Entire home/apt,256,1,10,2024-03-17,0.12,1,300,1,6va30708
2972825,ENTRE EL CENTRO Y MAR,15166343,Ines,CAMINS AL GRAU,LA CREU DEL GRAU,39.46434,-0.35032,Entire home/apt,150,1,3,2018-11-18,0.03,1,361,0,NA
3331996,Ancient fisher flat near city beach,6269463,Ana Maria,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46514,-0.33204,Entire home/apt,140,7,3,2017-06-30,0.03,2,209,0,VT-38136-V
3437150,LOFT EN EL CENTRO,4747776,Chantal,CIUTAT VELLA,LA SEU,39.47568,-0.37902,Entire home/apt,100,5,0,NA,NA,1,255,0,NA
3567941,"casa con encanto,en el centro",850883,Joan,L'EIXAMPLE,RUSSAFA,39.46112,-0.37481,Entire home/apt,125,15,0,NA,NA,1,365,0,NA
5108571,"El Palomar, Terrace overlooking the city",26397759,Paloma,L'EIXAMPLE,RUSSAFA,39.46040344238281,-0.3678480088710785,Entire home/apt,125,3,9,2024-03-18,0.08,1,185,2,NA
